Время внесения данных 18:45,Тип данных = рациональные, Число первое = 45, Число второе = 25, Действие = сумма, Результат = 70 
Время внесения данных 18:46,Тип данных = рациональные, Число первое = 25, Число второе = 45, Действие = сумма, Результат = 70 
Время внесения данных 18:47,Тип данных = рациональные, Число первое = 25, Число второе = 45, Действие = сумма, Результат = 70 
Время внесения данных 18:47,Тип данных = рациональные, Число первое = 25, Число второе = 45, Действие = сумма, Результат = 70.00 
Время внесения данных 18:48,Тип данных = рациональные, Число первое = 25, Число второе = 45, Действие = разность, Результат = -20.00 
Время внесения данных 18:48,Тип данных = рациональные, Число первое = 45, Число второе = 12, Действие = деление, Результат = 3.75 
Время внесения данных 18:48,Тип данных = рациональные, Число первое = 25, Число второе = 4, Действие = деление, Результат = 6 
Время внесения данных 18:49,Тип данных = рациональные, Число первое = 15, Число второе = 4, Действие = деление, Результат = 4 
Время внесения данных 18:50,Тип данных = рациональные, Число первое = 45, Число второе = 12, Действие = деление, Результат = 3.75000 
Время внесения данных 18:50,Тип данных = рациональные, Число первое = 4564, Число второе = 12, Действие = деление, Результат = 380.3 
Время внесения данных 18:50,Тип данных = рациональные, Число первое = 15879, Число второе = 254, Действие = деление, Результат = 62.5 
Время внесения данных 18:53,Тип данных = рациональные, Число первое = 15, Число второе = 45, Действие = деление, Результат = 0.33 
Время внесения данных 18:53,Тип данных = рациональные, Число первое = 4567, Число второе = 45, Действие = деление, Результат = 101.488888888888889 
Время внесения данных 19:00,Тип данных = рациональные, Число первое = 7894, Число второе = 5, Действие = деление, Результат = 1578.80 
Время внесения данных 19:01,Тип данных = рациональные, Число первое = 4567, Число второе = 4, Действие = деление, Результат = 1141.75 
Время внесения данных 19:01,Тип данных = рациональные, Число первое = 47846, Число второе = 5, Действие = деление, Результат = 9569.20000 
Время внесения данных 19:24,Тип данных = рациональные, Число первое = 25, Число второе = 45, Действие = сумма, Результат = 70 
Время внесения данных 19:25,Тип данных = рациональные, Число первое = 45, Число второе = 110, Действие = деление, Результат = 0.4090909090909090909090909091 
Время внесения данных 19:25,Тип данных = комплексные, Число первое = (1+2j), Число второе = (52+1j), Действие = сумма, Результат = (53+3j) 
Время внесения данных 19:27,Тип данных = комплексные, Число первое = (2+2j), Число второе = (1+6j), Действие = деление, Результат = (0.3783783783783784-0.2702702702702703j) 
Время внесения данных 19:41,Тип данных = рациональные, Число первое = 1, Число второе = 4, Действие = деление, Результат = 0.25 
Время внесения данных 19:51,Тип данных = рациональные, Число первое = 45654, Число второе = 12, Действие = деление, Результат = 3804.50
Время внесения данных 19:51,Тип данных = рациональные, Число первое = 78645, Число второе = 12, Действие = деление, Результат = 6553.75000
Время внесения данных 19:52,Тип данных = комплексные, Число первое = (2+1j), Число второе = (8+3j), Действие = деление, Результат = 0.26027+0.02740j
Время внесения данных 19:54,Тип данных = комплексные, Число первое = (123+0j), Число второе = (123+0j), Действие = сумма, Результат = 246.00000+0.00000j
Время внесения данных 20:01,Тип данных = комплексные, Число первое = (1+1j), Число второе = (2+2j), Действие = сумма, Результат = 3.00+3.00j
Время внесения данных 20:05,Тип данных = рациональные, Число первое = 15, Число второе = 42, Действие = деление, Результат = 0.36
Время внесения данных 20:05,Тип данных = комплексные, Число первое = (4+3j), Число второе = (5+2j), Действие = произведение, Результат = 14.00000+23.00000j
Время внесения данных 20:05,Тип данных = комплексные, Число первое = (45+3j), Число второе = (8+5j), Действие = деление, Результат = 4.21348-2.25843j
Время внесения данных 20:06,Тип данных = рациональные, Число первое = 3, Число второе = 4, Действие = произведение, Результат = 12.00
